"","title","movieInfo","point","review"
"66","브이아이피","https://movie.naver.com/movie/point/af/list.nhn?&page=7?st=mcode&sword=152170&target=after","8","느와르 잔혹 스릴러 매니아인데 나쁘지않았음 볼만한데 왜 망했는지모르겠네 여튼 괜찮음 "
"67","랭고","https://movie.naver.com/movie/point/af/list.nhn?&page=7?st=mcode&sword=76377&target=after","10","명작이여ㅠ이런 갬성 어디 또 없나ㅠ "
"68","악인전","https://movie.naver.com/movie/point/af/list.nhn?&page=7?st=mcode&sword=177967&target=after","9","장동수가 경찰과 손잡을 이유가 생각만큼 그렇게 딱히 없어 보였다는 점만 빼면... 몰입도 좋고 재밌게 본 영화. 김무열 연기도 해당 캐릭터에 적절했고... "
"69","나의 히어로 아카데미아 더 무비: 두 명의 히어로","https://movie.naver.com/movie/point/af/list.nhn?&page=7?st=mcode&sword=177757&target=after","8","재밌게 봤어요 "
"70","세자매","https://movie.naver.com/movie/point/af/list.nhn?&page=7?st=mcode&sword=193328&target=after","10","이팀그대로 유쾌한웃음으로 한번찍읍시다. "
"71","고질라 VS. 콩","https://movie.naver.com/movie/point/af/list.nhn?&page=8?st=mcode&sword=191637&target=after","10","영화관에서 볼만한 영화~~~CG~~볼만함.  긴장감. 스토리도 좋음.  보고난후 만족함~~재미있었네요 "
"72","찬실이는 복도 많지","https://movie.naver.com/movie/point/af/list.nhn?&page=8?st=mcode&sword=189624&target=after","8","""목이 말라서 꾸는 꿈은 행복이 아니에요""모든 장면 장면에서 향기가 느껴질 정도다.느리지도 빠르지도 않은 영화의 속도가 마치 찬실이 삶의 박자를 말해주는 것 같았다. 자신의 속도에서 여전히 살고 있는 찬실이는 복이 많다. "
"73","셰이프 오브 워터: 사랑의 모양","https://movie.naver.com/movie/point/af/list.nhn?&page=8?st=mcode&sword=158626&target=after","9","음악도 좋고사랑과 우정 이야기도 좋았던 "
"74","더 스파이","https://movie.naver.com/movie/point/af/list.nhn?&page=8?st=mcode&sword=191914&target=after","10","왜 이영화가 지루한거지?? 사실을 기반으로 한거면 연출도 최고인데 "
"75","비와 당신의 이야기","https://movie.naver.com/movie/point/af/list.nhn?&page=8?st=mcode&sword=192620&target=after","10","뻔한듯 뻔하지 않은 이야기였어요열린결말 별로 안좋아하는데 이건 여운이 길게 남는게 뭉클해지는게 좋았어요 한순간도 지루하지 않았고 몰입해서 보게 되었던것 같네요 슬프면서도 즐거웠던 그리고 너무 자연스러운 배우들의 연기가 잘 어울렸던 분위기의 영화였어요나중에 다시 한번 보고싶은,, "
